Time,Ave_Temp,Volt,Integral,Channel2,Channel3,Channel4
32.0,44.38769817352295,50.74,218.18967723846436,44.172882080078125,44.82548522949219,44.69859313964844,43.85383224487305
32.5,44.45114612579346,44.86,220.96410417556763,44.321529388427734,44.91613006591797,44.70584487915039,43.861080169677734
33.0,44.50371742248535,52.28,223.71224546432495,44.42304611206055,44.966888427734375,44.74209976196289,43.882835388183594
33.5,44.52728271484375,73,226.44860410690308,44.47380447387695,44.995887756347656,44.7566032409668,43.882835388183594
34.0,44.562631607055664,64.44,229.16728830337524,44.5281867980957,44.999515533447266,44.80010986328125,43.92271423339844
34.5,44.58347988128662,73,231.87554836273193,44.56444549560547,45.057525634765625,44.821861267089844,43.89008712768555
35.0,44.64148998260498,47.38,234.55480337142944,44.64058303833008,45.12641143798828,44.850868225097656,43.948097229003906
35.5,44.69859313964844,47.5,237.20550680160522,44.69496536254883,45.15904235839844,44.927005767822266,44.01335906982422
36.0,44.730316162109375,65.72,239.84034872055054,44.69859313964844,45.17716979980469,44.97050857543945,44.07499313354492
36.5,44.75297451019287,72.21,242.4638614654541,44.73847198486328,45.166290283203125,44.999515533447266,44.10762023925781
37.0,44.78379154205322,66.09,245.0719656944275,44.74934768676758,45.224300384521484,45.035770416259766,44.12574768066406
37.5,44.7511625289917,73,247.69638442993164,44.669586181640625,45.22067642211914,45.035770416259766,44.078617095947266
38.0,44.766571044921875,73,250.3130989074707,44.72034454345703,45.246055603027344,45.017642974853516,44.08224105834961
38.5,44.78198051452637,73,252.92210865020752,44.71309280395508,45.191673278808594,45.07927703857422,44.14387893676758
39.0,44.8182373046875,62.52,255.51298999786377,44.74209976196289,45.2895622253418,45.07202911376953,44.16925811767578
39.5,44.82911205291748,73,258.09843397140503,44.763851165771484,45.26780700683594,45.093780517578125,44.191009521484375
40.0,44.845428466796875,73,260.6757197380066,44.73847198486328,45.293190002441406,45.130035400390625,44.22001647949219
40.5,44.888936042785645,56.94,263.23125171661377,44.8073616027832,45.347572326660156,45.16266632080078,44.23814392089844
41.0,44.91250228881836,71.31,265.7750005722046,44.90162658691406,45.405582427978516,45.111907958984375,44.230892181396484
41.5,44.92504024505615,73,268.3124804496765,44.9957389831543,45.430809020996094,45.06100082397461,44.21261215209961
42.0,44.993170738220215,38.29,270.8158950805664,45.093780517578125,45.51435089111328,45.10465621948242,44.25989532470703
42.5,45.037583351135254,55.12,273.2971034049988,45.12641143798828,45.54697799682617,45.15541458129883,44.321529388427734
43.0,45.05828094482422,72.27,275.76796293258667,45.151641845703125,45.57946014404297,45.144386291503906,44.357635498046875
