Time,Temp1,Volt,Temp2,Temp3,Room_Temp
25.0,43.503379821777344,70,42.97041702270508,40.22584915161133,21.942501068115234,1040.1275825500488
25.5,43.514122009277344,70,42.98478698730469,40.23659133911133,21.938688278198242,1059.5852165222168
26.0,43.503379821777344,70,42.98854446411133,40.240352630615234,21.93146324157715,1079.0750770568848
26.5,43.52513122558594,70,43.01029968261719,40.24397277832031,21.935142517089844,1098.499683380127
27.0,43.55051040649414,70,43.01392364501953,40.254852294921875,21.93146324157715,1117.8481521606445
27.5,43.54325866699219,70,43.017547607421875,40.26573181152344,21.935142517089844,1137.218376159668
28.0,43.53587341308594,70,43.01741409301758,40.29822540283203,21.938688278198242,1156.6107559204102
28.5,43.55400085449219,70,43.02466583251953,40.33448028564453,21.927650451660156,1175.9487533569336
29.0,43.55400085449219,70,43.035545349121094,40.35261154174805,21.938688278198242,1195.286750793457
29.5,43.554134368896484,70,43.04655456542969,40.385372161865234,21.938819885253906,1214.6243476867676
30.0,43.554134368896484,70,43.0501823425293,40.41437530517578,21.946178436279297,1233.9619445800781
30.5,43.57951354980469,70,43.04655456542969,40.45063400268555,21.946178436279297,1253.223403930664
31.0,43.6083869934082,70,43.050048828125,40.46500015258789,21.938688278198242,1272.3982429504395
31.5,43.61201477050781,70,43.05366897583008,40.486759185791016,21.946046829223633,1291.562198638916
32.0,43.60489273071289,70,43.061058044433594,40.49776840209961,21.942501068115234,1310.7475204467773
32.5,43.623023986816406,70,43.08280944824219,40.526771545410156,21.946178436279297,1329.8784484863281
33.0,43.62664794921875,70,43.10456085205078,40.544898986816406,21.942501068115234,1348.9985046386719
33.5,43.644775390625,70,43.10093688964844,40.57390213012695,21.953536987304688,1368.0641784667969
34.0,43.6701545715332,70,43.11181640625,40.599281311035156,21.957216262817383,1387.0537147521973
34.5,43.673648834228516,70,43.108055114746094,40.653533935546875,21.953405380249023,1406.0327682495117
35.0,43.673648834228516,70,43.100807189941406,40.70066452026367,21.960763931274414,1425.0118217468262
35.5,43.6810302734375,70,43.10818862915039,40.74068069458008,21.957216262817383,1443.9687309265137
36.0,43.6808967590332,70,43.108055114746094,40.76230239868164,21.960763931274414,1462.926040649414
36.5,43.691776275634766,70,43.11893081665039,40.787681579589844,21.942367553710938,1481.8507118225098
37.0,43.6808967590332,70,43.11893081665039,40.81306076049805,21.942367553710938,1500.8080215454102
37.5,43.68452453613281,70,43.1479377746582,40.86381912231445,21.93132972717285,1519.7544479370117
